**********************************************************************
              STEEEPEST DESCENT ALGORITHM         
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :   10000
     Initial cost is        :   5.65E+01
     Initial norm_grad is   :   4.75E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    5.65E+01    4.75E+02    1.00E+00    1.00E+00       0       0
     1    2.74E+01    2.45E+02    4.86E-01    9.77E-04      10      11
     2    7.93E-01    4.69E+01    1.40E-02    9.77E-04       0      12
     3    2.08E-01    2.04E+01    3.68E-03    9.77E-04       0      13
     4    8.38E-02    8.15E+00    1.48E-03    9.77E-04       0      14
     5    6.49E-02    3.39E+00    1.15E-03    9.77E-04       0      15
     6    6.15E-02    1.40E+00    1.09E-03    9.77E-04       0      16
     7    6.10E-02    5.98E-01    1.08E-03    9.77E-04       0      17
     8    6.08E-02    2.97E-01    1.08E-03    9.77E-04       0      18
     9    6.08E-02    2.07E-01    1.08E-03    9.77E-04       0      19
    10    6.07E-02    1.88E-01    1.08E-03    9.77E-04       0      20
