**********************************************************************
          NONLINEAR CONJUGATE GRADIENT ALGORITHM  
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :   10000
     Initial cost is        :   5.65E+01
     Initial norm_grad is   :   4.75E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    5.65E+01    4.75E+02    1.00E+00    1.00E+00       0       0
     1    2.74E+01    2.45E+02    4.86E-01    9.77E-04      10      11
     2    4.65E+00    1.21E+02    8.22E-02    4.88E-04       1      13
     3    9.28E-02    9.19E+00    1.64E-03    4.88E-04       0      14
     4    6.54E-02    2.07E+00    1.16E-03    4.88E-04       0      15
     5    6.40E-02    2.49E-01    1.13E-03    4.88E-04       0      16
     6    6.39E-02    1.89E-01    1.13E-03    4.88E-04       0      17
     7    6.39E-02    2.56E-01    1.13E-03    4.88E-04       0      18
     8    6.39E-02    3.41E-01    1.13E-03    4.88E-04       0      19
     9    6.36E-02    8.47E-01    1.13E-03    4.88E-04       0      20
    10    6.31E-02    1.19E+00    1.12E-03    4.88E-04       0      21
