******************************************************************************************
                                 TRUNCATED NEWTON ALGORITHM           
******************************************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :     100
     Initial cost is        :   5.65E+01
     Initial norm_grad is   :   4.75E+02
     Maximum CG iter        :       5
******************************************************************************************
   Niter     fk        ||gk||      fk/f0       alpha        nls   nit_CG    eta      ngrad    nhess 
     0    5.65E+01    4.75E+02    1.00E+00    1.00E+00       0       0    9.00E-01       0       0
     1    1.73E+00    7.19E+01    3.05E-02    1.00E+00       0       1    9.00E-01       2       1
     2    6.94E-02    2.92E+00    1.23E-03    1.00E+00       0       1    8.43E-01       3       2
     3    6.65E-02    1.90E-01    1.18E-03    1.00E+00       0       1    7.59E-01       4       3
     4    3.51E-02    3.14E+00    6.21E-04    2.50E-01       2       2    6.40E-01       7       5
     5    3.35E-02    2.36E+00    5.92E-04    2.50E-01       0       1    9.00E-01       8       6
     6    3.25E-02    1.77E+00    5.76E-04    2.50E-01       0       1    8.43E-01       9       7
     7    3.20E-02    1.33E+00    5.67E-04    2.50E-01       0       1    7.59E-01      10       8
     8    3.17E-02    9.97E-01    5.61E-04    2.50E-01       0       1    7.52E-01      11       9
     9    3.15E-02    7.49E-01    5.58E-04    2.50E-01       0       1    7.54E-01      12      10
    10    3.14E-02    5.62E-01    5.57E-04    2.50E-01       0       1    7.57E-01      13      11
