**********************************************************************
             PRECONDITIONED l-BFGS ALGORITHM      
**********************************************************************
     Convergence criterion  :   2.00E-07
     Niter_max              :      20
     Initial cost is        :   1.00E+00
     Initial norm_grad is   :   1.64E-01
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    1.00E+00    1.64E-01    1.00E+00    1.00E+00       0       0
     1    8.15E-01    1.42E-01    8.15E-01    1.00E+01       1       2
     2    5.60E-01    1.49E-01    5.60E-01    1.25E+00       3       6
     3    3.02E-01    9.45E-02    3.02E-01    6.25E-01       1       8
     4    1.69E-01    4.45E-02    1.69E-01    6.25E-01       0       9
     5    1.34E-01    2.58E-02    1.34E-01    6.25E-01       0      10
     6    1.15E-01    1.76E-02    1.15E-01    6.25E-01       0      11
     7    9.72E-02    1.66E-02    9.72E-02    6.25E-01       0      12
     8    7.86E-02    1.91E-02    7.86E-02    6.25E-01       0      13
     9    5.92E-02    1.99E-02    5.92E-02    6.25E-01       0      14
    10    4.30E-02    2.19E-02    4.30E-02    6.25E-01       0      15
    11    2.75E-02    1.55E-02    2.75E-02    6.25E-01       0      16
    12    2.31E-02    1.02E-02    2.31E-02    6.25E-01       0      17
    13    2.00E-02    7.46E-03    2.00E-02    6.25E-01       0      18
    14    1.78E-02    7.41E-03    1.78E-02    6.25E-01       0      19
    15    1.56E-02    7.40E-03    1.56E-02    6.25E-01       0      20
    16    1.37E-02    8.99E-03    1.37E-02    6.25E-01       0      21
    17    1.21E-02    5.70E-03    1.21E-02    6.25E-01       0      22
    18    1.11E-02    4.24E-03    1.11E-02    6.25E-01       0      23
    19    1.03E-02    4.03E-03    1.03E-02    6.25E-01       0      24
    20    9.56E-03    4.42E-03    9.56E-03    6.25E-01       0      25
**********************************************************************
     STOP: MAXIMUM NUMBER OF ITERATION REACHED    
**********************************************************************
